Nama_UKM,Lama_Usaha,Jumlah_Pekerja,Omzet,Jumlah_Aset,Hasil_Keputusan
Sanggar Azalea,2,14,3,2,TUNDA
Kedurus Sejahtera,6,7,5,4,TIDAK
Rapi Ayu Handycraft,4,16,1,10,TUNDA
Jaya Komputer,2,9,2,2,TUNDA
Purnama,1,9,5,4,TUNDA
Kencana Craft,3,22,2,1,TUNDA
V-Tri Accessories,4,14,2,3,TIDAK
Maju Jaya Sablon,5,1,3,2,YA
Batik Semanggi,6,1,2,3,YA
Sunrise Picture,7,13,5,10,TIDAK
Mitra Mandiri,4,3,3,6,YA
Liana,0,15,3,6,TIDAK
Madekan,7,15,3,8,YA
Temuwati,2,26,1,8,TIDAK
Eva Nur Fadillah,5,23,3,10,TUNDA
Sri Sulatiningsih,3,18,5,7,TUNDA
